           n            f          f.x          f.y          f.z           fi         fi.x         fi.y         fi.z            u          u.x          u.y          u.z 
           0            0            0            0            0            0            0            0            0            0            0            0            0
           1            0            0            0            0            0            0            0            0            0            0            0            0
           2            0            0            0            0   6.7661e-12  2.35777e-13 -1.41334e-13 -6.76051e-12          0.1  -8.3812e-17 -5.22825e-19          0.1
           3            0            0            0            0  1.02728e-12  5.66754e-13 -3.28143e-13 -7.91462e-13          0.1 -8.97031e-17  1.62371e-17          0.1
           4            0            0            0            0  1.92362e-11  1.42712e-12 -1.70308e-12 -1.91075e-11          0.2 -2.06063e-16 -4.31641e-17          0.2
           5            0            0            0            0  9.74272e-12  -1.9407e-12  4.59202e-13 -9.53643e-12          0.2 -2.19348e-16 -9.22154e-18          0.2
           6            0            0            0            0  1.89295e-11 -1.33784e-12  3.43134e-12  1.85678e-11          0.3  -3.2771e-16 -6.98834e-17          0.3
           7            0            0            0            0  1.33023e-11 -3.78173e-13  2.76995e-12  1.30052e-11          0.3 -3.58536e-16 -1.42749e-18          0.3
           8      8600.26            0      7692.31      3846.15      8600.26 -1.77392e-12      7692.31      3846.15          0.4 -2.87953e-16 -7.53953e-17          0.4
           9      8600.26            0      7692.31      3846.15      8600.26 -3.36505e-12      7692.31      3846.15          0.4 -2.65129e-16 -9.64035e-17          0.4
          10          0.5            0            0          0.5          0.5            0            0          0.5          0.5            0            0          0.5
          11          0.5            0            0          0.5          0.5            0            0          0.5          0.5            0            0          0.5
          12            0            0            0            0            0            0            0            0            0            0            0            0
          13            0            0            0            0            0            0            0            0            0            0            0            0
          14            0            0            0            0  4.46985e-12  -5.9388e-13  2.43429e-13  4.42353e-12          0.1  -1.7017e-16 -3.20454e-17          0.1
          15            0            0            0            0  2.80358e-12 -9.15133e-13  5.77808e-13  2.58626e-12          0.1 -1.67771e-16 -1.77452e-17          0.1
          16            0            0            0            0  1.13261e-11  2.37156e-12 -3.33638e-12  1.05605e-11          0.2 -2.51065e-16  1.40496e-18          0.2
          17            0            0            0            0  9.75118e-12 -1.02076e-12 -5.39947e-12  8.05539e-12          0.2 -2.65479e-16 -2.07029e-18          0.2
          18            0            0            0            0  1.10776e-11 -1.54716e-12  2.00073e-12 -1.07851e-11          0.3 -2.45188e-16 -5.72199e-17          0.3
          19            0            0            0            0  8.88181e-12  2.15725e-12  2.91006e-12 -8.10952e-12          0.3 -2.36167e-16  3.15345e-17          0.3
          20      8600.26            0     -7692.31      3846.15      8600.26  2.22818e-12     -7692.31      3846.15          0.4 -7.07031e-17 -1.32539e-17          0.4
          21      8600.26            0     -7692.31      3846.15      8600.26  1.95582e-12     -7692.31      3846.15          0.4 -7.01192e-17  6.44291e-17          0.4
          22          0.5            0            0          0.5          0.5            0            0          0.5          0.5            0            0          0.5
          23          0.5            0            0          0.5          0.5            0            0          0.5          0.5            0            0          0.5
