           n            f          f.x          f.y          f.z           fi         fi.x         fi.y         fi.z            u          u.x          u.y          u.z 
           0          0.5            0            0          0.5          0.5  7.71606e-15  1.48333e-14          0.5  0.000677961 -4.48924e-05 -4.48924e-05  0.000674982
           1          0.5            0            0          0.5          0.5  1.89374e-14 -2.42407e-14          0.5  0.000677961 -4.48924e-05  4.48924e-05  0.000674982
           2            0            0            0            0  2.82562e-14 -1.51928e-15  1.21053e-14 -2.54865e-14  0.000498696 -4.39991e-05 -4.39991e-05  0.000494799
           3            0            0            0            0  3.34785e-14  2.06931e-14   -2.177e-15 -2.62273e-14  0.000498696 -4.39991e-05  4.39991e-05  0.000494799
           4            0            0            0            0  1.66874e-14 -1.18528e-14  -8.6059e-15  7.99494e-15  0.000327467 -4.09728e-05 -4.09728e-05    0.0003223
           5            0            0            0            0  2.35132e-14 -1.01652e-14  5.12892e-15  2.05727e-14  0.000327467 -4.09728e-05  4.09728e-05    0.0003223
           6            0            0            0            0  1.08475e-14 -5.35568e-15 -2.15589e-15 -9.18356e-15  0.000175138 -3.46402e-05 -3.46402e-05  0.000168147
           7            0            0            0            0  1.13346e-14 -5.74695e-15  5.78275e-15  -7.8743e-15  0.000175138 -3.46402e-05  3.46402e-05  0.000168147
           8            0            0            0            0  1.27847e-14 -5.63951e-15 -8.53094e-15  7.67252e-15  5.94019e-05 -2.25458e-05 -2.25458e-05  5.01194e-05
           9            0            0            0            0  1.16857e-14 -6.53847e-15  6.94231e-15  6.75336e-15  5.94019e-05 -2.25458e-05  2.25458e-05  5.01194e-05
          10            0            0            0            0            0            0            0            0            0            0            0            0
          11            0            0            0            0            0            0            0            0            0            0            0            0
          12          0.5            0            0          0.5          0.5 -9.14169e-15  1.54084e-14          0.5  0.000677961  4.48924e-05 -4.48924e-05  0.000674982
          13          0.5            0            0          0.5          0.5 -2.35887e-14 -1.64833e-14          0.5  0.000677961  4.48924e-05  4.48924e-05  0.000674982
          14            0            0            0            0  1.68035e-14 -3.95335e-15  1.41563e-14 -8.14422e-15  0.000498696  4.39991e-05 -4.39991e-05  0.000494799
          15            0            0            0            0  3.71536e-14 -1.14946e-14 -1.02869e-14    -3.38e-14  0.000498696  4.39991e-05  4.39991e-05  0.000494799
          16            0            0            0            0   1.2837e-14   4.9613e-15 -1.07181e-14  5.02958e-15  0.000327467  4.09728e-05 -4.09728e-05    0.0003223
          17            0            0            0            0  1.27841e-14  8.20503e-15  4.31706e-15  8.80185e-15  0.000327467  4.09728e-05  4.09728e-05    0.0003223
          18            0            0            0            0  1.07162e-14   6.7621e-15  -6.4528e-15 -5.24136e-15  0.000175138  3.46402e-05 -3.46402e-05  0.000168147
          19            0            0            0            0  9.19569e-15  4.15861e-15  7.48928e-15 -3.34327e-15  0.000175138  3.46402e-05  3.46402e-05  0.000168147
          20            0            0            0            0  1.01057e-14  8.01991e-15 -4.15437e-15  4.53291e-15  5.94019e-05  2.25458e-05 -2.25458e-05  5.01194e-05
          21            0            0            0            0  8.78632e-15  6.78944e-15  4.60663e-15  3.14355e-15  5.94019e-05  2.25458e-05  2.25458e-05  5.01194e-05
          22            0            0            0            0            0            0            0            0            0            0            0            0
          23            0            0            0            0            0            0            0            0            0            0            0            0
