           n            f          f.x          f.y          f.z           fi         fi.x         fi.y         fi.z            u          u.x          u.y          u.z 
          46            0            0            0            0   2.7187e-13  2.84217e-14  2.70006e-13  1.42109e-14   0.00235459 -0.000177712  0.000107116   0.00234543
          47            0            0            0            0  2.59713e-13  8.52651e-14  2.41585e-13 -4.26326e-14    0.0023611 -0.000179067  0.000179067   0.00234748
          48            0            0            0            0  1.18258e-13   9.9476e-14  6.39488e-14            0   0.00221663 -0.000178562 -0.000178562    0.0022022
          49            0            0            0            0   3.2732e-13  2.55795e-13  1.78357e-13  -9.9476e-14   0.00221088 -0.000177854 -0.000106971   0.00220112
          50            0            0            0            0  3.21143e-13  1.74083e-13  2.52243e-13 -9.59233e-14   0.00220807 -0.000177285 -3.56311e-05   0.00220066
          51            0            0            0            0  3.49848e-13  1.98952e-13   2.8777e-13            0   0.00220807 -0.000177285  3.56311e-05   0.00220066
          52            0            0            0            0  3.00023e-13  1.13687e-13  2.64233e-13 -8.52651e-14   0.00221088 -0.000177854  0.000106971   0.00220112
          53            0            0            0            0  1.67242e-13  8.52651e-14  1.20792e-13 -7.81597e-14   0.00221663 -0.000178562  0.000178562    0.0022022
          54            0            0            0            0  1.80875e-13   9.9476e-14  1.13687e-13  -9.9476e-14     0.002073 -0.000178309 -0.000178309    0.0020576
          55            0            0            0            0  2.43484e-13   1.3145e-13   1.7053e-13 -1.13687e-13   0.00206748 -0.000177963 -0.000106904   0.00205703
          56            0            0            0            0  3.28083e-13   1.7053e-13  2.41585e-13 -1.42109e-13    0.0020648 -0.000177696 -3.56237e-05   0.00205683
          57            0            0            0            0  3.36504e-13  1.98952e-13  2.39364e-13 -1.27898e-13    0.0020648 -0.000177696  3.56237e-05   0.00205683
          58            0            0            0            0  3.70836e-13  1.42109e-13   2.4282e-13 -2.41585e-13   0.00206748 -0.000177963  0.000106904   0.00205703
          59            0            0            0            0   1.6327e-13  1.13687e-13  1.13687e-13 -2.84217e-14     0.002073 -0.000178309  0.000178309    0.0020576
          60            0            0            0            0  9.53293e-14  7.10543e-14  2.84217e-14 -5.68434e-14   0.00192989 -0.000178177 -0.000178177   0.00191337
          61            0            0            0            0    1.879e-13  1.03029e-13  1.56319e-13  1.59872e-14   0.00192428 -0.000178041 -0.000106872   0.00191305
          62            0            0            0            0  1.53056e-13            0  1.42109e-13 -5.68434e-14   0.00192154 -0.000177944 -3.56207e-05   0.00191295
          63            0            0            0            0   2.0246e-13  8.52651e-14  1.62634e-13 -8.52651e-14   0.00192154 -0.000177944  3.56207e-05   0.00191295
          64            0            0            0            0  2.32632e-13  2.84217e-14  2.08361e-13  -9.9476e-14   0.00192428 -0.000178041  0.000106872   0.00191305
          65            0            0            0            0  1.07759e-13  7.10543e-14  7.81597e-14 -2.13163e-14   0.00192989 -0.000178177  0.000178177   0.00191337
          66            0            0            0            0  1.71683e-13  8.17124e-14  6.39488e-14 -1.36779e-13   0.00178719 -0.000178089 -0.000178089   0.00176935
          67            0            0            0            0  2.16919e-13  1.13687e-13  7.10543e-14  -1.7053e-13   0.00178127 -0.000178088 -0.000106847   0.00176912
          68            0            0            0            0  2.11529e-13  1.13687e-13  8.59313e-14 -1.56319e-13   0.00177835 -0.000178094 -3.56172e-05   0.00176905
