1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 254504 225225 -168919 -236486 -9009.01 6756.76 -11261.3 -216216 0 -1.64445e-05 0 
0 0 0 0 0 0 0 0 0 225225 254504 -168919 -216216 -11261.3 3.63798e-12 -9009.01 -236486 6756.76 -1.64445e-05 0 
0 0 0 0 0 0 0 0 0 -168919 -168919 310811 162162 0 -67567.5 0 162162 -67567.5 5.04204e-05 1 
0 0 0 0 0 0 0 0 0 -236486 -216216 162162 236486 0 -3.63798e-12 -1.13687e-13 216216 0 -3.45055e-05 0 
0 0 0 0 0 0 0 0 0 -9009.01 -11261.3 0 0 11261.3 0 9009.01 -1.13687e-13 0 -1.64445e-05 0 
0 0 0 0 0 0 0 0 0 6756.76 3.63798e-12 -67567.5 -3.63798e-12 0 67567.5 0 -3.63798e-12 -3.63798e-12 6.68648e-05 1 
0 0 0 0 0 0 0 0 0 -11261.3 -9009.01 0 -1.13687e-13 9009.01 0 11261.3 0 0 -1.64445e-05 0 
0 0 0 0 0 0 0 0 0 -216216 -236486 162162 216216 -1.13687e-13 -3.63798e-12 0 236486 0 -3.45055e-05 0 
0 0 0 0 0 0 0 0 0 0 6756.76 -67567.5 0 0 -3.63798e-12 0 0 67567.5 6.68648e-05 1 
