           n            f          f.x          f.y          f.z           fi         fi.x         fi.y         fi.z            u          u.x          u.y          u.z 
           0            1            0            0            1            1  2.15253e-15 -1.90135e-16            1  0.000587306 -6.83027e-05 -6.83027e-05  0.000579308
           1            1            0            0            1            1 -3.77814e-15 -7.29203e-15            1  0.000587306 -6.83027e-05  6.83027e-05  0.000579308
           2            0            0            0            0  1.30499e-14  5.07337e-15  8.57603e-15 -8.42684e-15   0.00032358 -6.23513e-05 -6.23513e-05  0.000311333
           3            0            0            0            0  1.10882e-14 -3.41978e-15 -9.52525e-15 -4.53012e-15   0.00032358 -6.23513e-05  6.23513e-05  0.000311333
           4            0            0            0            0  5.77297e-15  -3.7701e-16 -5.41893e-15  1.95456e-15  0.000111802 -4.21896e-05 -4.21896e-05  9.45499e-05
           5            0            0            0            0  3.12681e-15  -1.3443e-15  2.69383e-15   8.4443e-16  0.000111802 -4.21896e-05  4.21896e-05  9.45499e-05
           6            0            0            0            0            0            0            0            0            0            0            0            0
           7            0            0            0            0            0            0            0            0            0            0            0            0
           8            1            0            0            1            1 -4.31048e-16  2.03982e-15            1  0.000587306  6.83027e-05 -6.83027e-05  0.000579308
           9            1            0            0            1            1  2.53578e-15  1.09287e-14            1  0.000587306  6.83027e-05  6.83027e-05  0.000579308
          10            0            0            0            0  1.17843e-14 -8.46508e-15  2.25326e-15  -7.8826e-15   0.00032358  6.23513e-05 -6.23513e-05  0.000311333
          11            0            0            0            0  5.33655e-15 -3.70761e-15 -3.26352e-15  2.02034e-15   0.00032358  6.23513e-05  6.23513e-05  0.000311333
          12            0            0            0            0  3.31353e-15   1.6534e-15  1.17356e-15  2.62079e-15  0.000111802  4.21896e-05 -4.21896e-05  9.45499e-05
          13            0            0            0            0  5.36163e-15  4.77129e-16  5.32529e-15  4.00848e-16  0.000111802  4.21896e-05  4.21896e-05  9.45499e-05
          14            0            0            0            0            0            0            0            0            0            0            0            0
          15            0            0            0            0            0            0            0            0            0            0            0            0
