 -0.0211,  0.1976,  0.0004 
 -0.0211,  0.1976, -0.0004 
 -0.0200,  0.1556,  0.0007 
 -0.0200,  0.1556, -0.0007 
 -0.0184,  0.1164,  0.0009 
 -0.0184,  0.1164, -0.0009 
 -0.0162,  0.0810,  0.0013 
 -0.0162,  0.0810, -0.0013 
 -0.0132,  0.0508,  0.0016 
 -0.0132,  0.0508, -0.0016 
 -0.0096,  0.0272,  0.0019 
 -0.0096,  0.0272, -0.0019 
 -0.0056,  0.0111,  0.0020 
 -0.0056,  0.0111, -0.0020 
 -0.0019,  0.0027,  0.0016 
 -0.0019,  0.0027, -0.0016 
 -0.0000,  0.0000,  0.0000 
 -0.0000,  0.0000, -0.0000 
  0.0210,  0.1973, -0.0006 
  0.0210,  0.1973,  0.0006 
  0.0199,  0.1556, -0.0006 
  0.0199,  0.1556,  0.0006 
  0.0184,  0.1164, -0.0009 
  0.0184,  0.1164,  0.0009 
  0.0161,  0.0810, -0.0013 
  0.0161,  0.0810,  0.0013 
  0.0132,  0.0508, -0.0016 
  0.0132,  0.0508,  0.0016 
  0.0096,  0.0272, -0.0019 
  0.0096,  0.0272,  0.0019 
  0.0056,  0.0111, -0.0020 
  0.0056,  0.0111,  0.0020 
  0.0019,  0.0027, -0.0016 
  0.0019,  0.0027,  0.0016 
  0.0000,  0.0000, -0.0000 
  0.0000,  0.0000,  0.0000 
