19,20,21,1,2,3
20,21,22,2,3,4
21,22,23,3,4,5
22,23,24,4,5,6
23,24,25,5,6,7
24,25,26,6,7,8
25,26,27,7,8,9
26,27,28,8,9,10
27,28,29,9,10,11
28,29,30,10,11,12
29,30,31,11,12,13
30,31,32,12,13,14
31,32,33,13,14,15
32,33,34,14,15,16
33,34,35,15,16,17
34,35,36,16,17,18
