           n            f          f.x          f.y          f.z           fi         fi.x         fi.y         fi.z            u          u.x          u.y          u.z 
           0            0            0            0            0  1.21093e-15            0            0  1.21093e-15     0.296757            0            0     0.296757
           1            0            0            0            0  3.08464e-14 -2.06976e-16  1.06842e-15 -3.08272e-14     0.790952     0.237431     0.589519     0.470849
           2      86.5385            0            0      86.5385      86.5385 -1.92621e-14   3.4362e-14      86.5385      1.48173     0.833688     0.785222     0.940173
           3      48.0977      48.0769            1            1      48.0977      48.0769            1            1      1.71196     0.964775            1            1
           4            0            0            0            0  6.80955e-15            0            0 -6.80955e-15     0.190827            0            0     0.190827
           5            0            0            0            0  2.48876e-14 -2.14461e-15  2.42412e-14 -5.21131e-15     0.616501     0.156339     0.436177     0.406671
           6      134.615            0            0      134.615      134.615  1.49898e-14 -2.34131e-14      134.615      1.28896     0.674704     0.684894     0.858555
           7      38.4875      38.4615            1            1      38.4875      38.4615            1            1      1.67671     0.900754            1            1
           8            0            0            0            0  6.00935e-15            0            0  6.00935e-15     0.141445            0            0     0.141445
           9            0            0            0            0  2.52528e-14  6.53851e-15  2.26605e-15 -2.42862e-14     0.463637    0.0992462     0.325296     0.315106
          10      134.615            0            0      134.615      134.615 -1.96041e-14 -1.74937e-14      134.615      1.15095     0.563823     0.593329     0.809173
          11      38.4875      38.4615            1            1      38.4875      38.4615            1            1      1.64674     0.843661            1            1
          12            0            0            0            0  5.79282e-16            0            0  5.79282e-16    0.0598274            0            0    0.0598274
          13            0            0            0            0   2.5264e-14  5.29208e-15 -5.82618e-15  2.40067e-14     0.273916     0.035225     0.166312     0.214778
          14      48.0769            0            0      48.0769      48.0769 -4.60943e-15  1.83343e-14      48.0769     0.971106     0.410481     0.529151     0.703243
          15      9.71883     -9.61539            1            1      9.71883     -9.61539            1            1      1.60671     0.762569            1            1
